Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Backorders allowed?,Sold individually?,Regular price,Sale price,Categories,Images,Weight (kg),Manage stock?,Stock status
simple,6009835080885-9835080888,TNT – Psycho Shaker,1,0,visible,"The most studied natural performance aid with proven muscle performance benefits.

Available at Elvare Group with fast, reliable delivery across South Africa.","Psycho Shaker by TNT. A premium supplement formulated for optimal results. Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,1,,0,0,85.00,,"TNT Mercury, Accessories",https://www.psychoskull.co.za/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-25-at-09.19.03.jpeg,,0,instock
simple,,ATP – Micronized Creatine Monohydrate 250 g | 100% Pure | Unflavoured,1,0,visible,"Micronized Creatine Monohydrate 250 g | 100% Pure | Unflavoured by ATP. A premium supplement formulated for optimal results. Available at Elvare Group with fast, reliable delivery across South Africa.","Stop drinking “Industrial Grade” grit. Most creatine is a coarse, 80-mesh powder that sits in ythis gut and causes bloating. ATP Fitness uses a 200-mesh Micronized Standard-a precision-refined powder that dissolves and absorbs rapidly without the chalky aftertaste. Why Choose ATP Micronized Creatine? - Zero Grit & No Bloating : Tired of chalky, hard-to-drink supplements that upset ythis stomach? While standard industry creatine uses a coarse 80 mesh, this premium formula is micronized to an ultra-fine 200 mesh. This drastically reduces particle size, meaning it dissolvescompletely, absorbs rapidly into the bloodstream, and eliminates the gastrointestinal discomfort often caused by cheaper brands. - Laser Focus & Brain Health (Neuroprotection): Micronized creatine isn’t just for muscles; ythis brain demands massive amounts of energy too. Creatine aids in buffer energy levels in the brain, supporting focus, cognitive function, and mental clarity during high-stress activities. - Faster Recovery & Endurance (Mitochondrial Support): Don’t let fatigue dictate ythis workouts. By buffering energy levels and reducing oxidative stress at a cellular level, our micronized creatine aids in you recover faster between sets and bounce back quicker after brutal sessions. - Visible Muscle Fullness (Cellular Hydration): Experience better pumps and muscle density. This creatine draws water directly into the muscle cells, enhancing cellular hydration which speeds up protein synthesis and creates the optimal environment for muscle growth. - Explosive Strength & Energy (ATP Regeneration): Creatine is ythis body’s primary energy currency. By rapidly replenishing adenosine triphosphate (ATP) stores, this monohydrate allows you to push harder, lift heavier, and sustain maximum power output during short, high-intensity bursts. The ATP Fitness Promise: Strictly Research-Backed & Uncompromised. Unlike other brands that rely on hype, proprietary blends, and unnecessary additives, Elvare Group believe in radical purity and evidence-based performance. Every supplement Elvare Group create is strictly research-backed. Formulated in Stellenbosch using advanced sports science and clinical-grade nutrients, ATP Fitness relies strictly on ingredients scientifically proven to work. - Premium Micronized 200 Mesh Creatine Monohydrate

- Zero Artificial Flavours, Colours, or Fillers

- Highly Soluble & Unflavoured: This micronized powder mixes instantly and invisibly into your pre-workout, protein shake, or water. - Fast-Absorbing: Excellent for intra-workout fuel or post-exercise recovery. Upgrade ythis performance with the science of ATP Fitness.

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,1,,0,0,235.00,,"Creatine, ATP Fitness",https://www.psychoskull.co.za/wp-content/uploads/2026/03/s-zoom.file-3.webp,,0,instock
simple,,ATP – ATP Belgian Cocoa Whey | 1 kg | Unsweetened,1,0,visible,"ATP Belgian Cocoa Whey | 1 kg | Unsweetened by ATP. A premium supplement formulated for optimal results. Available at Elvare Group with fast, reliable delivery across South Africa.","Power Ythis Recovery with Clean, Natural Protein
Fuel your training and recovery with ATP Belgian Cocoa Whey Protein Concentrate – a premium, natural protein powder made for athletes, fitness enthusiasts, and anyone looking to support lean muscle growth. Imported whey protein concentrate from Denmark combined with authentic Belgian cocoa gives you a rich chocolate taste without added sugar, fillers, or artificial ingredients. Key Features & Benefits

- 30.5g Protein per Serving Bolsters Lean Muscle Growth

Delivers a high dose of protein to aid recovery, strength, and performance. - Made with Authentic Belgian Cocoa Rich, Natural Flavour

Enjoy smooth, chocolate taste without added sugars or flavourings. - Whey Protein Imported from Denmark Premium European Quality

Trusted, clean source of protein for maximum results. - No Additives, No Preservatives Pure, Clean Nutrition

Free from fillers, colourants, flavourings, and unnecessary ingredients. - Versatile Use Shake, Smoothies, or Recipes

Blend with milk or add to recipes for a protein boost throughout the day. Nutritional Information (Per 45g Serving)

- Protein: 30.5 g

- Carbohydrates: 2.7 g

- Total Fat: 3.1 g

- Dietary Fibre: 3.8 g

- Energy: 675 kJ / 160 kcal

- Plus essential amino acids, vitamins, and minerals for optimal recovery. Suggested Use:

Mix 2 heaped scoops (45g) with 300-400ml of milk and blend for a smooth protein shake. Best consumed post-workout or between meals. What’s in the Box? - 1 x 1kg Belgian Cocoa Whey Protein Concentrate

- 1 x Scoop (50ml)

- Pressure-sensitive liner & moisture-protecting desiccants

Important Info

- Allergens: Features dairy (including lactose) and soy. - Not suitable for infants or children under 3 years. - Store in a cool, dry place below 25 C. - This supplement is not intended as a sole source of nutrition.

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,1,,0,0,685.00,,"Health & Recovery, ATP Fitness, Protein",https://www.psychoskull.co.za/wp-content/uploads/2026/03/s-zoom.file-2.webp,,0,instock
simple,,ATP – Beta Alanine 200 g | Pure | Unflavoured,1,0,visible,"Beta Alanine 200 g | Pure | Unflavoured by ATP. A premium supplement formulated for optimal results. Available at Elvare Group with fast, reliable delivery across South Africa.","ATP Fitness Beta-alanine 

Beta-alanine is a non-essential beta-amino acid that serves as the rate-limiting precursor to carnosine, a dipeptide buffer found in skeletal muscle. By increasing intracellular carnosine concentrations, beta-alanine aids in regulate pH by neutralizing hydrogen ions that accumulate during anaerobic metabolism. This buffering capacity plays a key role in maintaining muscle function and delaying neuromuscular fatigue during sustained exertion. This pure, crystallised form of Beta-alanine is more chemically stable and allows for more precise dosing, ensuring both safety and efficacy for athletes and fitness enthusiasts alike. Key Benefits of ATP Fitness Beta-alanine:

Carnosine Synthesis & pH Regulation
Beta-alanine is the rate-limiting precursor to carnosine, a dipeptide that buffers hydrogen ions in muscle cells. Accumulated H+ during anaerobic metabolism leads to a drop in pH, contributing to muscular fatigue. By increasing carnosine levels, beta-alanine aids in maintain optimal intracellular pH and delays acidosis-induced fatigue. Intramuscular Buffering Capacity
Elevated carnosine concentrations amplify the muscle’s ability to neutralize excess acidity during sustained contractions. This buffering system is particularly beneficial during high-intensity efforts where glycolytic metabolism predominates. As a result, beta-alanine supplementation bolsters longer-duration exertion before reaching metabolic limits. Reactive Oxygen Species (ROS) Scavenging
Carnosine also exhibits antioxidant properties, helping to neutralize reactive oxygen species (ROS) generated during exercise-induced oxidative stress. By reducing oxidative damage, it preserves cellular structures and preserves mitochondrial efficiency. This secondary function contributes to recovery and long-term muscle performance. Neuromuscular Function & Excitation-Contraction Coupling
Beta-alanine has been linked to improvements in neuromuscular function by enhancing calcium sensitivity in muscle fibers. This bolsters more efficient excitation-contraction coupling, allowing for stronger and more sustained muscle contractions. Increased calcium handling also plays a role in delaying fatigue at the neuromuscular junction. At ATP, Elvare Group strive to keep everything pure and unflavoured, unlike other supplements that add unnecessary additives. This commitment to delivering high-grade supplements ensures you get clean, powerful nutrients with no artificial flavours, colours, or fillers. Our crystallised Beta-alanine is rapidly absorbed for fast-acting support, excellent for pre-workout supplementation. How to supplement with Beta-alanine? If you have supplemented with Beta-alanine before: Take one level scoop (3 g) dissolved in water or ythis favourite beverage approximately 30 minutes before a workout. If you have not supplemented with Beta-alanine before: Start with half a scoop, building up to a full scoop over the course of the first week. Serving size: 1 level scoop (3 g)

Servings per container: 66

What’s Under the Lid? Pressure Seal: Ensures that the Beta-alanine remains clean and dry, protecting the product’s quality. 5-gram desiccant: Added to keep the product dry and free from moisture. 5 ml Plastic Scoop: Included for ythis convenience, allowing for easy and accurate supplementation

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,0,,0,0,245.00,,"Aminos, Health & Recovery, ATP Fitness",https://www.psychoskull.co.za/wp-content/uploads/2026/03/s-zoom.file_.png,,0,outofstock
simple,,ATP – L-Citrulline Malate 250 g | 100% Pure,1,0,visible,"L-Citrulline Malate 250 g | 100% Pure by ATP. A premium supplement formulated for optimal results. Available at Elvare Group with fast, reliable delivery across South Africa.","ATP Fitness L-Citrulline Malate 250 g

L-Citrulline Malate, a powerful supplement taken before workout formulated to increase nitric oxide production, which improves blood flow and subsequently enhances exercise performance and endurance. You can typically expect to notice increased blood flow and muscle pump within 30 to 60 minutes after taking L-Citrulline Malate. Citrulline malate is a combination of L-citrulline, a non-essential amino acid, and malic acid, a Krebs cycle intermediate that plays a role in aerobic energy metabolism. L-citrulline is converted into L-arginine in the kidneys, supporting endogenous nitric oxide production and subsequent vasodilation. The malate component contributes to ATP production by facilitating oxidative phosphorylation, enhancing mitochondrial efficiency. Nitric Oxide Production & Vasodilation – Improves blood flow
L-citrulline is a key precursor to L-arginine in the nitric oxide (NO) synthesis pathway, where it facilitates NO production via endothelial nitric oxide synthase (eNOS). This encourages vasodilation, improving blood flow and oxygen delivery to working muscles. Enhanced circulation allows for better nutrient exchange and metabolic waste removal. Ammonia Clearance & pH Buffering
Citrulline plays a role in the urea cycle, where it aids in the detoxification of ammonia, a byproduct of protein metabolism. Excess ammonia accumulation can contribute to fatigue by disrupting cellular pH and interfering with ATP production. By facilitating ammonia clearance, citrulline malate bolsters sustained muscular performance. Malate-Driven Aerobic Energy Production
Malate, an intermediate of the tricarboxylic acid (TCA) cycle, amplifies oxidative phosphorylation and ATP generation. This bolsters prolonged energy output by improving mitochondrial efficiency in aerobic metabolism. The combined effect of citrulline and malate ensures a dual mechanism for both NO-driven vasodilation and enhanced ATP synthesis. Enhanced Arginine Bioavailability
Unlike direct L-arginine supplementation, which is subject to rapid degradation by arginase in the gastrointestinal tract, citrulline circumvents this metabolic limitation. It is efficiently converted into arginine in the kidneys, leading to prolonged elevations in plasma arginine levels. This results in sustained NO production and improved endothelial function. At ATP Fitness, Elvare Group strive to keep everything pure and unflavoured, unlike other supplements with unnecessary additives. This commitment to delivering high-grade supplements ensures you get clean, powerful nutrients with no artificial flavours, colours, or fillers. Our L-Citrulline Malate is rapidly absorbed for fast-acting support, excellent for pre-workout fuel. How to supplement with L-Citrulline Malate? Take one level scoop (4 g) dissolved in water or ythis favourite beverage approximately 30 minutes before a workout. Serving size: 1 level scoop (4 g)

Servings per container: 62

What’s Under the Lid? Pressure seal: Ensures the L-Citrulline Malate remains clean and dry, protecting the product’s quality. 5 g silica gel: Added to keep the product dry and free from moisture. 5 ml plastic scoop: Included for ythis convenience, allowing for easy and accurate supplementation.

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,1,,0,0,245.00,,"Aminos, Health & Recovery, ATP Fitness",https://www.psychoskull.co.za/wp-content/uploads/2026/03/s-zoom.file_.webp,,0,instock
simple,6009835080885-9835080887,TNT – CREATINE PRIMIN FUEL 460G,1,0,visible,"The most studied natural performance aid with proven muscle performance benefits.

Available at Elvare Group with fast, reliable delivery across South Africa.","CREATINE PRIMING FUEL by TNT is a stimulant-free, high-performance hydration and power matrix formulated to prime your muscles before training. Formulated with clinically efficient doses of creatine, key amino acids, and cellular osmolytes. This advanced blend delivers explosive strength, endurance, and hydration bolster without relying on caffeine or artificial stimulants. Each serving floods ythis muscles with the fuel they need to perform harder, recover faster, and stay hydrated through even the most intense training sessions. Whether ythis goal is to lift heavier, push further, or enhance performance naturally, CREATINE PRIMING FUEL provides the physiological foundation toget it done. Enhances cellular hydration through taurine and betaine synergy / Buffers fatigue and improves endurance with beta-alanine / Supports recovery and natural creatine synthesis with glycine / Stimulant-free formula, stack with ythis favourite pre-workout or enjoy clean performance on its own. TYPICAL NUTRITIONAL INFORMATION

CREATINE PRIMING FUEL

CLINICALLY DOSED CREATINE, OSMOLYTES & BUFFERS FOR PEAK PERFORMANCE

TYPICAL NUTRITIONAL INFORMATION

Servings per container: 25
PER 100 g
PER 18,4 g

SERVING

Energy
≤ 390 kJ
≤ 70 kJ

Protein

   (as amino acid nitrogen equivalents)
22 g
4 g

Total Carbohydrates
0,0 g
0,0 g

  of which Sugars
0,0 g
0,0 g

Total Fats
0,0 g
0,0 g

  of which Saturated
0,0 g
0,0 g

Total Fibre
0,0 g
0,0 g

Total Sodium
0,0 mg
0,0 mg

Clinically Dosed Performance Stack

Creatine Monohydrate

7,500 mg

Taurine

3,000 mg

Beta-Alanine

3,000 mg

Betaine Anhydrous

2,000 mg

Glycine

500 mg

*%Nutrient Reference Values (NRV) for individuals 4 years and older (2010). †Nutrient Reference Value (NRV) not yet established. #Dietary Fibre method of analysis AOAC 991.43. INGREDIENTS:
Micronized Creatine Monohydrate, Taurine, Beta-Alanine, Glycine, Betaine Anhydrous, silica, Stabiliser, Citric Acid, Sodium Bi Carbonate, Silicon Dioxide. ALLERGENS:
This supplement is produced in a facility that may also process ingredients containing Soy, Egg, Wheat (Gluten) & Nuts. This supplement is intended for healthy adults only. Do not exceed the recommended daily dose. Consult ythis healthcare practitioner before use if you have a medical condition, are pregnant, or are taking medication. Beta-alanine may cause a harmless tingling sensation. Keep out of reach of children. DIRECTION FOR USE:
Add one level scoop to any flavoured beverage and drink prior to exercise or sip during training.

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,1,,0,0,350.00,,"Creatine, TNT Mercury",https://www.psychoskull.co.za/wp-content/uploads/2026/03/TNT-Creatine-Priming-Fuel-460g-1000x1000-1.webp,,0,instock
simple,6009835080885-9835080886,TNT – CREATINE MONO 450g,1,0,visible,"The most studied natural performance aid with proven muscle performance benefits.

Available at Elvare Group with fast, reliable delivery across South Africa.","Creatine is one of the most researched and efficient performance-enhancing supplements in the world. Regular use increases phosphocreatine stores in the muscles, allowing for faster ATP regeneration during short, intense bursts of activity. This leads to greater strength, explosive power, improved endurance, and accelerated recovery between sets. TNT’s ultra-fine Micronized Creatine is designed for maximum solubility, ensuring rapid mixing and absorption without grittiness. It can be easily combined with other supplements or taken on its own as a daily performance foundation. Whether you’re a power athlete, bodybuilder, or focused on lean muscle development, Prime Creatine aids in unlock your peak physical potential and training intensity. TYPICAL NUTRITIONAL INFORMATION

PURE CREATINE MONOHYDRATE 450G

INCREASES STRENGTH AND POWER OUTPUT

TYPICAL NUTRITIONAL INFORMATION

Servings per container: 90

Serving size: 1 heaped scoop (5g)

Per
Per single

100 g
serving

Creatine Monohydrate
100 g
5 g

** Daily value not established

*%Nutrient Reference Values (NRV) for individuals 4 years and older (2010). †Nutrient Reference Value (NRV) not yet established. #Dietary Fibre method of analysis AOAC 991.43. INGREDIENTS:
Creatine Monohydrate

ALLERGENS:
None. This supplement is made in a factory that uses dairy, soy, egg and gluten (wheat, oats and Barley). DIRECTION FOR USE:
Serving size 5g: Approx 1 Heaped scoop. Directions For TNT Mercury Creatine: For the first 3 days (loading phase): Mix 1 scoop with 150ml of water and consume 4 times daily. After day 3 (maintenance phase): Mix 1 scoop with 150ml of water 1 to 2 times daily. Alternate Use: For more impressive results, replace water witha high glycemic carbohydrate beverage or supplement likeCARB FUEL, HBCD & VITARGO by TNT.

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,1,,0,0,295.00,,"Creatine, TNT Mercury",https://www.psychoskull.co.za/wp-content/uploads/2026/03/TNT-Pure-Creatine-450g-1000x1000-1.webp,,0,instock
simple,,Black Bull – Huge Protein Bar,1,0,visible,"MUSCLE & STRENGTH CREATINE

• Gain muscle fast

• Increase strength gains

• Maximise muscle performance

Available at Elvare Group with fast, reliable delivery across South Africa.","HARDCORE PROTEIN BAR. NO COMPROMISES. ✓ 19 g protein to bolster muscle recovery and growth✓ Full 5 g creatine monohydrate per bar for real strength and size

✓ 32 g carbohydrates to fuel training and support mass gain✓ 316 kcal of dense fuel to support mass and performance✓ Built for lifters who need results, not snacks

ANABOLIC FUEL. The Black Bull Huge Bar is not a convenience snack. It is a purpose-built anabolic bar designed for serious lifters who train hard and eat to grow. Unlike dry, chalky protein bars, the Huge Bar is dense, satisfying, and built to actually go down easy. Rich chocolate, crispy rice, and crunchy peanuts deliver real taste and texture, making it something you look forward to eating, not something you force down. Each bar delivers quality protein combined with a full daily serving of creatine to bolster strength, recovery, and muscle size. High in calories, dense in nutrition, and easy to carry, it works as a potent post-workout hit, between-meal fuel, or a no-nonsense meal replacement when there is no time to slow down. Designed for the South African training lifestyle. Built for grinders. Trusted under the bar.

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,0,,0,0,35.00,,"Creatine, Black Bull, Protein",https://www.psychoskull.co.za/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-04-at-08.32.35-2.jpeg,,0,outofstock
simple,,Slender You – Craving Buster,1,0,visible,"Craving Buster by Slender You. A premium supplement formulated for optimal results. Available at Elvare Group with fast, reliable delivery across South Africa.","Why You’ll Love It

Control cravings before they control you. Slender You® Craving Buster is ythis natural, stimulant-free solution to help keep hunger in check. Formulated with powerful plant-based ingredients, it aids in you feel satisfied for longer, reduces the urge to snack on empty calories and supports balanced eating habits, making it easier to stick to your weight loss or maintenance goals. Whether you struggle with mid-afternoon snack attacks, late-night cravings, or emotional eating, Craving Buster works with ythis body to promote a calmer, more controlled appetite. It’s excellent for busy lifestyles, portion control and anyone wanting a more mindful relationship with food. Why it works

- Konjac Root (Glucomannan): A natural, zero-calorie fiber that can expand up to 50x its weight in water, creating a feeling of fullness and slowing sugar absorption. This bolsters blood sugar balance and improved metabolic health. - Garcinia Cambogia: A tropical fruit extract that blocks fat production (via HCA) and increases serotonin, which can reduce emotional eating and help regulate appetite.

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,1,,0,0,190.00,,"Slender You, Health & Recovery, Fat Burners",https://www.psychoskull.co.za/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-04-at-08.32.36-2.jpeg,,0,instock
simple,,Slender You – Vegan Shake,1,0,visible,"Vegan Shake by Slender You. A premium supplement formulated for optimal results. Available at Elvare Group with fast, reliable delivery across South Africa.","Why You’ll Love It

Complete Plant-Based Nutrition, Refined

The new Slender You® Vegan Shake is designed for anyone who wants premium plant-based nutrition without compromise. Each serving fuels ythis body with complete vegan protein, supports smoother digestion and provides balanced energy. Improved Formulation

• Complete vegan protein blend

• MCT oil for long-lasting energy

• Prebiotic fiber for gut health & fullness

• 20+ vitamins and minerals

• Only 123 calories per serving

• New taste experience

Why It Works

• Complete Protein: Pea, soy & rice deliver all essential amino acids for recovery, satiety and daily fuel. • Energy Without Crashes: MCT oil offers a steady energy release instead of sugar spikes. • Gut Bolster & Balance: Inulin & polydextrose feed good bacteria, aid digestion and curb cravings. • Weight & GLP-1 Friendly: No added sugar, maltodextrin, or artificial fillers, excellent for clean weight management. • Nutrient Density: 20+ vitamins and minerals to bolster skin, energy and overall wellness.

Available at Elvare Group with fast, reliable delivery across South Africa.",taxable,1,,0,0,315.00,,"Slender You, Health & Recovery, Protein",https://www.psychoskull.co.za/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-04-at-08.32.36.jpeg,,0,instock
